Performance,District Code,School Code,School Year,Mobility,Transfer Rate Between Districts,Transfer Rate Within District,Same School Retention Rate,Retention Type
0.63,0,0,2025,27.9,20.0,14.0,38.3,5
38.89,29,11,2025,0.0,0.0,33.3,66.7,1
1.03,0,0,2021,0.0,0.0,0.0,100.0,2
23.81,34,412,2025,0.0,0.0,0.0,100.0,2
18.52,35,779,2025,100.0,0.0,0.0,0.0,5
2.27,36,748,2025,0.0,0.0,50.0,50.0,1
6.09,38,0,2025,23.6,10.9,10.9,54.5,5
52.63,23,761,2015,50.0,0.0,0.0,50.0,5
51.61,24,685,2015,0.0,0.0,0.0,100.0,2
33.33,32,240,2015,25.0,0.0,0.0,75.0,1
36.36,32,244,2015,0.0,0.0,0.0,100.0,1
36.17,32,246,2015,0.0,0.0,0.0,100.0,1
58.82,32,250,2015,0.0,0.0,0.0,100.0,2
38.1,32,252,2015,0.0,0.0,0.0,100.0,1
33.33,32,254,2015,0.0,0.0,0.0,100.0,1
41.82,32,256,2015,0.0,0.0,0.0,100.0,2
47.37,32,260,2015,0.0,0.0,0.0,100.0,1
40.63,32,264,2015,100.0,0.0,0.0,0.0,2
15.56,32,274,2015,0.0,14.3,14.3,71.4,1
27.03,32,276,2015,0.0,0.0,0.0,100.0,1
38.89,33,320,2015,0.0,0.0,0.0,100.0,4
53.33,33,321,2015,14.3,0.0,0.0,85.7,1
14.55,33,327,2015,0.0,0.0,9.1,90.9,1
37.5,33,330,2015,0.0,0.0,0.0,100.0,2
32.43,33,334,2015,100.0,0.0,0.0,0.0,2
24.39,33,358,2015,0.0,0.0,8.3,91.7,1
43.75,34,410,2015,0.0,0.0,0.0,100.0,1
32.26,34,412,2015,0.0,0.0,0.0,100.0,2
21.74,34,420,2015,0.0,0.0,0.0,100.0,1
35.0,34,422,2015,0.0,0.0,14.3,85.7,1
50.0,34,432,2015,0.0,0.0,0.0,100.0,1
31.25,34,456,2015,0.0,0.0,0.0,100.0,1
40.74,34,476,2015,0.0,0.0,0.0,100.0,1
42.31,36,738,2015,0.0,0.0,0.0,100.0,1
41.67,36,742,2015,0.0,0.0,0.0,100.0,1
27.78,69,568,2015,0.0,0.0,0.0,100.0,2
18.52,80,579,2015,15.0,20.0,0.0,65.0,1
39.13,0,0,2016,50.0,0.0,0.0,50.0,4
57.14,10,618,2016,0.0,0.0,0.0,100.0,1
63.64,10,625,2016,0.0,0.0,0.0,100.0,1
25.0,23,761,2016,0.0,0.0,0.0,100.0,1
40.0,24,696,2016,0.0,0.0,0.0,100.0,1
35.29,29,28,2016,0.0,0.0,0.0,100.0,1
24.14,32,240,2016,0.0,0.0,0.0,100.0,1
55.36,32,246,2016,50.0,0.0,0.0,50.0,1
41.3,32,252,2016,0.0,0.0,0.0,100.0,1
23.4,32,264,2016,100.0,0.0,0.0,0.0,3
75.0,33,0,2016,7.9,7.3,11.0,73.8,1
11.84,32,274,2016,0.0,0.0,16.7,83.3,1
25.0,32,276,2016,0.0,0.0,20.0,80.0,1
24.17,32,282,2016,25.0,0.0,0.0,75.0,1
29.27,32,290,2016,14.3,0.0,0.0,85.7,1
43.33,32,292,2016,0.0,0.0,0.0,100.0,1
14.29,32,294,2016,11.1,0.0,11.1,77.8,1
43.48,33,320,2016,0.0,0.0,0.0,100.0,1
40.48,33,327,2016,7.1,7.1,7.1,78.6,1
50.0,33,330,2016,0.0,0.0,50.0,50.0,1
43.75,33,334,2016,8.1,8.1,16.2,67.6,1
17.78,33,358,2016,0.0,0.0,16.7,83.3,1
29.41,34,422,2016,0.0,0.0,0.0,100.0,1
39.39,34,432,2016,0.0,0.0,0.0,100.0,1
47.83,34,456,2016,20.0,0.0,0.0,80.0,1
48.57,34,470,2016,14.3,0.0,0.0,85.7,1
45.98,34,476,2016,14.3,0.0,0.0,85.7,1
52.17,36,738,2016,50.0,0.0,0.0,50.0,1
34.15,38,26,2016,0.0,0.0,0.0,100.0,3
43.48,38,44,2016,20.0,0.0,0.0,80.0,1
45.24,38,66,2016,0.0,0.0,0.0,100.0,1
30.0,39,652,2016,12.5,0.0,0.0,87.5,1
69.05,40,0,2016,0.0,0.0,0.0,100.0,1
69.05,40,770,2016,0.0,0.0,0.0,100.0,1
40.63,69,568,2016,0.0,0.0,0.0,100.0,1
50.0,0,0,2017,7.1,4.2,4.3,84.4,1
64.71,10,612,2017,0.0,0.0,0.0,100.0,3
87.5,10,618,2017,0.0,0.0,0.0,100.0,1
74.6,10,620,2017,0.0,9.1,9.1,81.8,1
38.1,13,634,2017,0.0,0.0,0.0,100.0,1
66.67,24,685,2017,0.0,0.0,0.0,100.0,2
57.89,24,696,2017,0.0,0.0,0.0,100.0,1
51.49,32,240,2017,0.0,0.0,0.0,100.0,1
47.37,32,242,2017,0.0,0.0,0.0,100.0,1
18.52,32,246,2017,0.0,0.0,0.0,100.0,1
29.41,32,252,2017,0.0,0.0,0.0,100.0,1
32.43,32,256,2017,0.0,0.0,0.0,100.0,1
46.43,32,260,2017,0.0,0.0,100.0,0.0,3
26.09,32,264,2017,0.0,0.0,0.0,100.0,1
15.12,32,274,2017,0.0,14.3,14.3,71.4,1
56.25,32,284,2017,0.0,0.0,0.0,100.0,1
47.54,32,292,2017,0.0,0.0,0.0,100.0,1
30.43,33,320,2017,0.0,0.0,0.0,100.0,1
37.84,33,321,2017,16.7,0.0,0.0,83.3,1
20.63,33,327,2017,0.0,0.0,0.0,100.0,1
22.86,33,358,2017,9.1,0.0,45.5,45.5,1
39.13,34,412,2017,0.0,0.0,0.0,100.0,1
25.0,34,418,2017,0.0,0.0,0.0,100.0,1
35.29,34,420,2017,0.0,0.0,0.0,100.0,1
59.09,34,422,2017,14.3,0.0,0.0,85.7,1
45.71,34,432,2017,0.0,0.0,16.7,83.3,1
57.14,34,470,2017,28.6,0.0,14.3,57.1,1
38.24,34,476,2017,0.0,12.5,12.5,75.0,1
25.0,36,692,2017,100.0,0.0,0.0,0.0,5
50.0,36,738,2017,0.0,0.0,0.0,100.0,1
69.57,38,44,2017,22.2,0.0,0.0,77.8,1
69.6,39,0,2017,28.6,0.0,0.0,71.4,2
48.39,38,66,2017,0.0,0.0,10.0,90.0,1
68.18,39,652,2017,25.0,0.0,0.0,75.0,5
69.23,40,0,2017,0.0,0.0,0.0,100.0,1
69.23,40,770,2017,40.0,0.0,0.0,60.0,3
40.98,69,568,2017,0.0,0.0,0.0,100.0,1
82.0,88,587,2017,33.3,0.0,0.0,66.7,3
29.37,0,0,2018,9.7,4.1,4.5,81.7,1
44.0,9611,4075,2017,25.0,0.0,0.0,75.0,1
57.69,10,622,2018,0.0,0.0,0.0,100.0,1
33.33,13,634,2018,0.0,25.0,0.0,75.0,1
46.67,13,638,2018,20.0,20.0,0.0,60.0,1
73.68,24,696,2018,0.0,0.0,0.0,100.0,2
56.25,29,21,2018,0.0,25.0,0.0,75.0,1
34.09,32,240,2018,0.0,0.0,0.0,100.0,1
20.0,32,246,2018,50.0,0.0,0.0,50.0,1
63.41,32,250,2018,0.0,0.0,0.0,100.0,1
14.0,32,254,2018,0.0,0.0,0.0,100.0,1
42.11,32,256,2018,0.0,0.0,0.0,100.0,1
47.62,32,260,2018,0.0,0.0,0.0,100.0,1
17.14,32,264,2018,100.0,0.0,0.0,0.0,1
40.0,32,271,2018,5.7,0.0,0.0,94.3,1
15.63,32,274,2018,33.3,0.0,0.0,66.7,1
71.88,32,284,2018,0.0,0.0,0.0,100.0,1
73.68,33,314,2018,16.7,0.0,0.0,83.3,1
17.39,33,327,2018,20.0,0.0,6.7,73.3,1
35.29,33,330,2018,0.0,0.0,0.0,100.0,1
29.63,34,412,2018,0.0,0.0,0.0,100.0,1
