PctProficient,District Code,School Code,School Year,Turnover Rate,Transfer Rate Between Districts,Transfer Rate Within District,Same School Retention Rate,Retention Type
0.63,0,0,2025,27.9,20.0,14.0,38.3,Five Year Percentage
,13,0,2025,30.0,5.0,10.0,55.0,One Year Percentage
,10,0,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,10,613,2025,0.0,0.0,100.0,0.0,Two Year Percentage
,10,610,2025,0.0,0.0,0.0,100.0,One Year Percentage
,10,612,2025,33.3,0.0,0.0,66.7,Five Year Percentage
,10,611,2025,0.0,0.0,100.0,0.0,Two Year Percentage
,10,618,2025,0.0,25.0,75.0,0.0,Five Year Percentage
,10,621,2025,50.0,50.0,0.0,0.0,Four Year Percentage
,10,615,2025,57.1,28.6,14.3,0.0,Five Year Percentage
,10,616,2025,0.0,0.0,0.0,100.0,One Year Percentage
,10,622,2025,0.0,100.0,0.0,0.0,Five Year Percentage
,10,625,2025,40.0,0.0,0.0,60.0,One Year Percentage
,10,626,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,10,620,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,10,630,2025,0.0,33.3,33.3,33.3,Five Year Percentage
,10,623,2025,0.0,25.0,25.0,50.0,One Year Percentage
,10,628,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,13,632,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,13,633,2025,33.3,0.0,0.0,66.7,One Year Percentage
,13,634,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,13,635,2025,0.0,0.0,50.0,50.0,Five Year Percentage
,13,636,2025,42.9,14.3,0.0,42.9,Five Year Percentage
,13,637,2025,0.0,0.0,0.0,100.0,One Year Percentage
,13,638,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,13,640,2025,0.0,0.0,33.3,66.7,Five Year Percentage
,13,642,2025,0.0,0.0,50.0,50.0,Two Year Percentage
,13,646,2025,0.0,0.0,100.0,0.0,Two Year Percentage
,13,648,2025,40.9,22.7,0.0,36.4,Five Year Percentage
,13,650,2025,0.0,100.0,0.0,0.0,Five Year Percentage
,13,655,2025,62.5,25.0,12.5,0.0,Five Year Percentage
,15,0,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,15,664,2025,0.0,100.0,0.0,0.0,Four Year Percentage
,15,658,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,15,660,2025,0.0,0.0,100.0,0.0,Four Year Percentage
,15,665,2025,0.0,100.0,0.0,0.0,Three Year Percentage
,15,662,2025,0.0,100.0,0.0,0.0,Five Year Percentage
,15,669,2025,40.0,60.0,0.0,0.0,Five Year Percentage
,16,0,2025,0.0,100.0,0.0,0.0,Four Year Percentage
,16,752,2025,20.0,40.0,0.0,40.0,Three Year Percentage
,16,756,2025,0.0,50.0,0.0,50.0,Three Year Percentage
,16,782,2025,50.0,25.0,25.0,0.0,Three Year Percentage
,16,783,2025,0.0,0.0,100.0,0.0,Five Year Percentage
,17,0,2025,40.9,4.5,13.6,40.9,Five Year Percentage
,17,710,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,17,712,2025,50.0,0.0,0.0,50.0,Three Year Percentage
,17,716,2025,,,,,
,17,718,2025,0.0,0.0,33.3,66.7,Five Year Percentage
,17,720,2025,33.3,0.0,33.3,33.3,Five Year Percentage
,17,721,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,17,722,2025,33.3,0.0,0.0,66.7,Two Year Percentage
,17,724,2025,0.0,0.0,0.0,100.0,Four Year Percentage
,17,726,2025,25.0,0.0,0.0,75.0,Three Year Percentage
,17,728,2025,0.0,0.0,50.0,50.0,Five Year Percentage
,18,0,2025,50.0,0.0,0.0,50.0,Three Year Percentage
,18,668,2025,33.3,33.3,33.3,0.0,Five Year Percentage
,18,670,2025,100.0,0.0,0.0,0.0,Four Year Percentage
,18,672,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,18,673,2025,50.0,50.0,0.0,0.0,Five Year Percentage
,18,675,2025,20.0,0.0,20.0,60.0,Five Year Percentage
,18,678,2025,0.0,100.0,0.0,0.0,Five Year Percentage
,23,0,2025,25.0,20.0,15.0,40.0,Five Year Percentage
,23,759,2025,0.0,0.0,50.0,50.0,Five Year Percentage
,23,760,2025,40.0,0.0,0.0,60.0,Five Year Percentage
,23,761,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,23,762,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,23,764,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,23,766,2025,50.0,0.0,50.0,0.0,Three Year Percentage
,24,0,2025,0.0,0.0,0.0,100.0,One Year Percentage
,24,680,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,24,681,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,24,682,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,24,684,2025,0.0,0.0,66.7,33.3,Four Year Percentage
,24,685,2025,0.0,0.0,0.0,100.0,One Year Percentage
,24,686,2025,0.0,0.0,100.0,0.0,Four Year Percentage
,24,688,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,24,696,2025,60.0,20.0,0.0,20.0,Five Year Percentage
,29,0,2025,20.3,22.0,25.4,32.2,Five Year Percentage
,29,10,2025,0.0,0.0,0.0,100.0,Five Year Percentage
38.89,29,11,2025,0.0,0.0,33.3,66.7,One Year Percentage
,29,16,2025,0.0,0.0,0.0,100.0,One Year Percentage
,29,17,2025,0.0,75.0,0.0,25.0,Five Year Percentage
,29,18,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,29,14,2025,66.7,0.0,0.0,33.3,Five Year Percentage
,29,20,2025,0.0,0.0,100.0,0.0,Five Year Percentage
,29,21,2025,0.0,0.0,100.0,0.0,Five Year Percentage
,29,23,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,29,24,2025,0.0,0.0,0.0,100.0,One Year Percentage
,29,22,2025,100.0,0.0,0.0,0.0,Five Year Percentage
,29,27,2025,100.0,0.0,0.0,0.0,Four Year Percentage
,29,28,2025,25.0,0.0,50.0,25.0,Five Year Percentage
,29,33,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,29,34,2025,0.0,0.0,33.3,66.7,One Year Percentage
,29,29,2025,66.7,0.0,33.3,0.0,Five Year Percentage
,29,32,2025,25.0,0.0,0.0,75.0,Two Year Percentage
,29,35,2025,0.0,0.0,0.0,100.0,Four Year Percentage
,31,0,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,29,36,2025,0.0,0.0,0.0,100.0,One Year Percentage
,29,37,2025,33.3,0.0,0.0,66.7,One Year Percentage
,31,110,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,31,112,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,31,124,2025,0.0,0.0,0.0,100.0,Four Year Percentage
,31,128,2025,25.0,0.0,0.0,75.0,Five Year Percentage
,31,130,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,31,132,2025,0.0,0.0,100.0,0.0,Two Year Percentage
,31,151,2025,0.0,0.0,0.0,100.0,Three Year Percentage
,31,156,2025,0.0,0.0,0.0,100.0,Two Year Percentage
,31,170,2025,20.0,20.0,0.0,60.0,Three Year Percentage
,31,176,2025,0.0,0.0,0.0,100.0,Five Year Percentage
,31,178,2025,0.0,0.0,50.0,50.0,Four Year Percentage
